date,time,FC1_Read_Input_Register,FC2_Read_Discrete_Value,FC3_Read_Holding_Register,FC4_Read_Coil,label,type
25-Apr-19, 09:14:00 ,63477.13129289109,53775.383910575634,4122.0255955437315,18568.925552302993,1,injection
25-Apr-19, 09:14:00 ,23666.27541535543,46752.12232562916,23401.821104648126,15362.73382036831,1,injection
25-Apr-19, 09:14:01 ,53856.59313948524,60499.014168766014,38857.35546454826,-6485.089231349342,1,injection
25-Apr-19, 09:14:02 ,43691.64573845667,39210.98397939057,33851.577962381154,-27210.86657218667,1,injection
25-Apr-19, 09:14:04 ,66416.84745899163,41574.110929371105,32201.327977953097,34557.464066586916,1,injection
25-Apr-19, 09:14:06 ,32273.116397706992,55286.11929887209,-3634.792544927066,32462.81895593741,1,injection
25-Apr-19, 09:14:07 ,48485.353857364375,15473.351772534537,36381.25184709148,12312.58683063916,1,injection
25-Apr-19, 09:14:09 ,59005.275128670386,20719.476575199067,9754.09523971187,83930.55350998433,1,injection
25-Apr-19, 09:14:10 ,48731.79208918346,19463.29953734563,-2452.069705220678,25635.272906426686,1,injection
25-Apr-19, 09:14:10 ,74419.10977548786,-54610.437590317655,28493.824875356022,56325.62780646623,1,injection
25-Apr-19, 09:14:11 ,87323.3726140488,95542.55299889283,62849.41670363908,-22202.209888814774,1,injection
25-Apr-19, 09:14:12 ,52620.06884264036,47368.43661557498,46545.11279807287,55448.836411082906,1,injection
25-Apr-19, 09:14:14 ,71177.75276370524,36920.16831603335,53927.721947874394,15255.293959876202,1,injection
25-Apr-19, 09:14:15 ,151185.11937919602,51184.471565794614,55648.68496018993,21865.04273354611,1,injection
25-Apr-19, 09:14:15 ,32848.51602442148,6894.361968936351,69785.47997904284,81317.2490145129,1,injection
25-Apr-19, 09:14:16 ,69403.27178820237,16892.973443337334,98198.74384533789,66085.29876906672,1,injection
25-Apr-19, 09:14:17 ,-5266.539075374443,33039.591744383666,64842.803885218964,93297.02682221467,1,injection
